example_id                                                   | status | run_time        |
------------------------------------------------------------ | ------ | --------------- |
./spec/features/blogging/managing_posts_spec.rb[1:1:1]       | passed | 0.11176 seconds |
./spec/features/blogging/managing_posts_spec.rb[1:1:2]       | passed | 0.06718 seconds |
./spec/features/blogging/managing_posts_spec.rb[1:1:3]       | passed | 0.08072 seconds |
./spec/features/blogging/managing_posts_spec.rb[1:1:4]       | passed | 0.11236 seconds |
./spec/features/blogging/managing_posts_spec.rb[1:1:5]       | passed | 0.07784 seconds |
./spec/features/blogging/managing_posts_spec.rb[1:1:6]       | passed | 0.06742 seconds |
./spec/features/blogging/managing_posts_spec.rb[1:2:1]       | passed | 0.0443 seconds  |
./spec/features/reading/reading_posts_spec.rb[1:1]           | passed | 0.25139 seconds |
./spec/features/reading/reading_posts_spec.rb[1:2]           | passed | 0.04292 seconds |
./spec/features/signing_up_in_out/sign_in_out_spec.rb[1:1:1] | passed | 0.05219 seconds |
./spec/features/signing_up_in_out/sign_in_out_spec.rb[1:1:2] | passed | 0.06348 seconds |
./spec/features/signing_up_in_out/sign_in_out_spec.rb[1:1:3] | passed | 0.04878 seconds |
./spec/features/signing_up_in_out/sign_in_out_spec.rb[1:1:4] | passed | 0.04824 seconds |
./spec/features/signing_up_in_out/sign_in_out_spec.rb[1:1:5] | passed | 0.0831 seconds  |
./spec/features/signing_up_in_out/sign_in_out_spec.rb[1:2:1] | passed | 0.05565 seconds |
./spec/features/signing_up_in_out/sign_up_spec.rb[1:1]       | passed | 0.05495 seconds |
./spec/features/signing_up_in_out/sign_up_spec.rb[1:2]       | passed | 0.05512 seconds |
./spec/models/post_spec.rb[1:1:1]                            | passed | 0.00389 seconds |
./spec/models/post_spec.rb[1:1:2]                            | passed | 0.01173 seconds |
./spec/models/post_spec.rb[1:2:1]                            | passed | 0.00108 seconds |
./spec/models/user_spec.rb[1:1]                              | passed | 0.00674 seconds |
./spec/models/user_spec.rb[1:2:1]                            | passed | 0.03012 seconds |
./spec/models/user_spec.rb[1:2:2]                            | passed | 0.00633 seconds |
./spec/models/user_spec.rb[1:2:3]                            | passed | 0.00674 seconds |
./spec/models/user_spec.rb[1:2:4]                            | passed | 0.0086 seconds  |
./spec/models/user_spec.rb[1:3:1]                            | passed | 0.00111 seconds |
